"","Year","Rank","DJ","Change"
"624",2011,45,"Richie Hawtin","Down 14"
"625",2012,45,"Carl Cox","Down 14"
"626",2013,45,"Coone","Down 8"
"627",2014,45,"Frontliner","Down 8"
"628",2015,45,"Jack U","New Entry"
"629",2016,45,"Nervo","Down 21"
"630",2017,45,"Major Lazer","Down 1"
"631",2004,47,"Jeff Mills ","Down 8"
"632",2005,48,"Ricky Stone","New Entry"
"633",2006,46,"Donald Glaude","Up 22"
"634",2007,46,"Steve Angello","Up 20"
"635",2008,46,"Laidback Luke","New Entry 7"
"636",2009,46,"Dubfire","Down 16"
"637",2010,46,"Sean Tyas","Down 1"
"638",2011,46,"Eric Prydz","Down 16"
"639",2012,46,"Nervo","New Entry"
"640",2013,46,"Carl Cox","Down 1"
"641",2014,46,"Kaskade","Down 10"
"642",2015,46,"Tom Swoon","New Entry"
"643",2016,46,"Angerfist","Down 8"
"644",2017,46,"Tujamo","Up 32"
"645",2004,48,"Satoshi Tomiie","Down 14"
"646",2005,49,"Pete Tong","Down 3"
"647",2006,47,"DJ Vibe","Down 7"
"648",2007,47,"Nick Warren","Down 11"
"649",2008,47,"Danny Tenaglia","Down 4"
"650",2009,47,"Martin Solveig","Up 5"
"651",2010,47,"Eddie Halliwell","Down 6"
"652",2011,47,"Zatox","New Entry"
"653",2012,47,"Pete Tha Zouk","Down 10"
"654",2013,47,"Bobina","Up 6"
"655",2014,47,"Brennan Heart","Up 14"
"656",2015,47,"Shogun","New Entry"
"657",2016,47,"Above & Beyond","Down 18"
"658",2017,47,"Tom Swoon","Up 9"
"659",2004,49,"Misstress Barbara","Re-entry"
"660",2005,50,"Martin Garcia ","New Entry"
"661",2006,48,"Kyau & Albert","New Entry"
"662",2007,48,"Matt Hardwick","Up 16"
"663",2008,48,"Menno De Jong","Up 14"
"664",2009,48,"Sven Väth","Down 24"
"665",2010,48,"Erick Morillo","Up 11"
"666",2011,48,"tyDi","Up 8"
"667",2012,48,"Martin Solveig","Down 19"
"668",2013,48,"Omnia","Up 10"
"669",2014,48,"Coone","Down 3"
"670",2015,48,"Headhunterz","Down 8"
"671",2016,48,"Yellow Claw","Up 26"
"672",2017,48,"Kura","Up 3"
"673",2004,50,"Adam Beyer","Up 15"
"674",2005,51,"Frank T.R.A.X","New Entry"
"675",2006,49,"Chris Liebing","Down 16"
"676",2007,49,"Ricardo Villalobos","Re-entry"
"677",2008,49,"Marco Lenzi","New Entry 14"
"678",2009,49,"Richard Durand","Up 49"
"679",2010,49,"James Zabiela","Down 11"
"680",2011,49,"Orjan Nilsen","New Entry"
"681",2012,49,"Brennan Heart","Up 49"
"682",2013,49,"Orjan Nilsen","Down 17"
"683",2014,49,"Infected Mushroom","Up 4"
"684",2015,49,"Coone","Down 1"
"685",2016,49,"MaRLo","Up42"
"686",2017,49,"Deadmau5","Down 18"
"687",2004,51,"Fatboy Slim","Down 8"
"688",2005,52,"Timo Maas","Re-entry"
"689",2006,50,"Tiga","Down 6"
"690",2007,50,"James Holden","Up 3"
"691",2008,50,"Andy C","Up 17"
"692",2009,50,"Marco V","Down 6"
"693",2010,50,"Umek","Down 11"
"694",2011,50,"Andy Moor","Down 18"
"695",2012,50,"Tenishia","Up 41"
"696",2013,50,"Zatox","Down 14"
"697",2014,50,"Laidback Luke","Down 19"
"698",2015,50,"Vicetone","Down 14"
"699",2016,50,"Fedde Le Grand","Down 15"
"700",2017,50,"Nicky Romero","Down 21"
"701",2004,52,"John '00' Fleming","Down 25"
"702",2005,53,"Laurent Garnier","Down 8"
"703",2006,51,"Matt Darey","Up 40"
"704",2007,51,"Mark Knight","New Entry"
"705",2008,51,"Offer Nissim","Up 5"
"706",2009,51,"Kaskade","New Entry"
"707",2010,51,"Paul Oakenfold","Down 28"
"708",2011,51,"Roger Shah","Down 17"
"709",2012,51,"Zedd","New Entry"
"710",2013,51,"Gareth Emery","Down 37"
"711",2014,51,"Sander Van Doorn","Down 12"
"712",2015,51,"Richie Hawtin","Up 39"
"713",2016,51,"Kura","Up 10"
"714",2017,51,"Paul van Dyk","Up 9"
"715",2004,53,"Plump DJ's","Down 16"
"716",2005,54,"Desyn Masiello","New Entry"
"717",2006,52,"Bob Sinclair","New Entry"
"718",2007,52,"The Thrillseekers","Down 7"
"719",2008,52,"Martin Solveig","Up 20"
"720",2009,52,"tyDi","New Entry"
"721",2010,52,"Matt Darey","Up 2"
"722",2011,52,"John O'Callaghan","Down 19"
"723",2012,52,"Eric Prydz","Down 6"
"724",2013,52,"Bingo Players","Up 14"
"725",2014,52,"Dada Life","Down 17"
"726",2015,52,"Wolfpack","Up 32"
"727",2016,52,"Lost Stories","New Entry"
"728",2017,52,"Danny Avila","Re-entry"
"729",2004,54,"David Morales","Up 28"
"730",2005,55,"Victor Calderone","Up 11"
"731",2006,53,"James Holden","Down 16"
"732",2007,53,"Marco Bailey","Re-entry"
"733",2008,53,"Adam Sheridan","New Entry 20"
"734",2009,53,"Erick Morillo","Up 17"
"735",2010,53,"Mark Knight","Up 8"
"736",2011,53,"Astrix","Up 6"
"737",2012,53,"Bobina","Down 9"
"738",2013,53,"Infected Mushroom","Down 10"
"739",2014,53,"Knife Party","Down 28"
"740",2015,53,"Brennan Heart","Down 6"
"741",2016,53,"Deorro","Down 25"
"742",2017,53,"Aly & Fila","Down 12"
"743",2004,55,"Umek","Down 10"
"744",2005,56,"Lisa Lashes","Down 26"
"745",2006,55,"Wrecked Machines","New Entry"
"746",2007,54,"Anderson Noise","Up 25"
"747",2008,54,"Sean Tyas","New Entry 20"
"748",2009,54,"Matt Darey","Down 20"
"749",2010,54,"Richard Durand","Down 5"
"750",2011,54,"Erick Morillo","Down 6"
"751",2012,54,"Madeon","New Entry"
"752",2013,54,"Eric Prydz","Down 2"
"753",2014,54,"Dillon Francis","Up 19"
"754",2015,54,"Major Lazer","New Entry"
"755",2016,54,"Vintage Culture","New Entry"
"756",2017,54,"ATB","Up 7"
"757",2004,56,"Lee Burridge","Down 12"
"758",2005,57,"Johan Gielen","Down 29"
"759",2006,56,"Dion Mavath","New Entry"
"760",2007,55,"Lange","Down 1"
"761",2008,55,"DJ Feel","New Entry 20"
"762",2009,55,"Astrix","Down 12"
"763",2010,55,"Martin Solveig","Down 8"
"764",2011,55,"John Digweed","Down 26"
"765",2012,55,"John O'Callaghan","Down 3"
"766",2013,55,"Tommy Trash","Up 7"
"767",2014,55,"Yves V","New Entry"
"768",2015,55,"Porter Robinson","Up 2"
"769",2016,55,"Alan Walker","New Entry"
"770",2017,55,"Yves V","Up 7"
"771",2004,57,"Dave Seaman","Down 17"
"772",2005,58,"Matt Hardwick","Up 1"
"773",2006,56,"Dion Mavath","New Entry"
"774",2007,56,"Offer Nissim","Down 27"
"775",2008,56,"Yahel","Down 28"
"776",2009,56,"Menno De Jong","Down 8"
"777",2010,56,"tyDi","Down 4"
"778",2011,56,"Wolfgang Gartner","Up 14"
"779",2012,56,"DJ Feel","Up 1"
"780",2013,56,"Wildstylez","Down 15"
"781",2014,56,"Firebeatz","New Entry"
"782",2015,56,"Markus Schulz","Down 12"
"783",2016,56,"Tom Swoon","Down 10"
"784",2017,56,"Diego Miranda","Up 2"
"785",2004,58,"Fergie","Down 35"
"786",2005,59,"Misstress Barbara","Down 10"
"787",2006,57,"Pete Tong","Down 8"
"788",2007,57,"Kyau & Albert","Down 9"
"789",2008,57,"Roger Sanchez","Down 32"
"790",2009,57,"The Thrillseekers","Down 12"
"791",2010,57,"Hernan Cattaneo","Down 25"
"792",2011,57,"DJ Feel","Down 16"
"793",2012,57,"Steve Angello","Down 34"
"794",2013,57,"Arty","Down 29"
"795",2014,57,"Porter Robinson","Down 16"
"796",2015,57,"Eric Prydz","Up 3"
"797",2016,57,"Coone","Down 8"
"798",2017,57,"Yellow Claw","Down 9"
"799",2004,59,"Matt Hardwick","Up 5"
"800",2005,60,"Fergie","Down 2"
"801",2006,58,"Danny Tenaglia","Down 22"
"802",2007,58,"Justice","New Entry"
"803",2008,58,"DJ Shah","New Entry 32"
"804",2009,58,"Nick Warren","Up 26"
"805",2010,58,"Sven Väth","Down 10"
"806",2011,58,"Showtek","Up 33"
"807",2012,58,"Omnia","New Entry"
"808",2013,58,"R3hab","Up 15"
"809",2014,58,"ATB","Down 25"
"810",2015,58,"Diego Miranda","Up 12"
"811",2016,58,"Diego Miranda","No change"
"812",2017,58,"Miss K8","Up 30"
"813",2004,60,"Slacker","Re-entry"
"814",2005,61,"Armand Van Helden","Up 23"
"815",2006,59,"George Acosta","New Entry"
"816",2007,59,"Matt Darey","Down 8"
"817",2008,59,"Sander Kleinenberg","Down 24"
"818",2009,59,"Dirty South","Up 15"
"819",2010,59,"Astrix","Down 4"
"820",2011,59,"Richard Durand","Down 5"
"821",2012,59,"Umek","Up 1"
"822",2013,59,"Madeon","Down 5"
"823",2014,59,"Carl Cox","Down 13"
"824",2015,59,"DJ Chetas","New Entry"
"825",2016,59,"Brennan Heart","Down 6"
"826",2017,59,"Brennan Heart","No change"
"827",2004,61,"DJ Luna","New Entry"
"828",2005,62,"Michel De Hey","Up 3"
"829",2006,60,"Blank & Jones","Down 29"
"830",2007,60,"Timo Maas","Up 3"
"831",2008,60,"John O'Callaghan","New Entry 24"
"832",2009,60,"Roger Sanchez","Down 3"
"833",2010,60,"Super8 & Tab","Up 22"
"834",2011,60,"Umek","Down 10"
"835",2012,60,"Wolfgang Gartner","Down 4"
"836",2013,60,"Vicetone","New Entry"
"837",2014,60,"Eric Prydz","Down 6"
"838",2015,60,"Danny Avila","New Entry"
"839",2016,60,"Paul van Dyk","Down 19"
"840",2017,60,"Mike Williams","New Entry"
"841",2004,62,"M.I.K.E","Down 12"
"842",2005,63,"Fatboy Slim","Down 12"
"843",2006,61,"DJ Sammy","Up 31"
"844",2007,61,"Danny Howells","Up 6"
"845",2008,61,"Blank & Jones","Down 24"
"846",2009,61,"Mark Knight","Down 19"
"847",2010,61,"Andy C","Up 39"
"848",2011,61,"Skazi","Up 22"
"849",2012,61,"AN21","Up 24"
"850",2013,61,"Brennan Heart","Down 12"
"851",2014,61,"Gabry Ponte","New Entry"
"852",2015,61,"Kura","Down 19"
"853",2016,61,"ATB","Up 21"
"854",2017,61,"Dannic","Up 9"
"855",2004,63,"DJ Rush","Re-entryNextRanking "
"856",2005,64,"Jeff Mills ","Down 17NextRanking "
"857",2006,62,"Joachim Garraud","New EntryNextRanking "
"858",2007,62,"Menno De Jong","Up 10NextRanking "
"859",2008,62,"Cosmic Gate","Re-entryNextRanking "
"860",2009,62,"Wally Lopez","Up 13NextRanking "
"861",2010,62,"Myon & Shane 54","Up 29NextRanking "
"862",2011,62,"Paul Kalkbrenner","Up 22NextRanking "
"863",2012,62,"Tommy Trash","New EntryNextRanking "
"864",2013,62,"DJ Feel","Down 6NextRanking "
"865",2014,62,"VINAI","New EntryNextRanking "
"866",2015,62,"tchami","New EntryNextRanking "
"867",2016,62,"Yves V","Down 28NextRanking "
"868",2017,62,"Carl Cox","Up 12NextRanking "
"869",2004,64,"Max Graham","Down 8"
"870",2005,65,"DJ Rush","Down 2"
"871",2006,63,"Timo Maas","Down 11"
"872",2007,63,"Bob Sinclair","Down 11"
"873",2008,63,"Steve Angello","Down 17"
"874",2009,63,"Leon Bolier","Up 32"
"875",2010,63,"Marcel Woods","Up 11"
"876",2011,63,"Sasha","Down 36"
"877",2012,63,"Francis Davila","Up 14"
"878",2013,63,"Gunz For Hire","New Entry"
"879",2014,63,"MAKJ","New Entry"
"880",2015,63,"Carl Cox","Up 4"
"881",2016,63,"Wolfpack","Down 11"
"882",2017,63,"Carl Nunes","Up 23"
"883",2004,NA,NA,NA
"884",2005,66,"The Flash Brothers","Up 5"
"885",2006,64,"Matt Hardwick","Down 6"
"886",2007,64,"John Acquaviva","Down 42"
"887",2008,64,"Simon Patterson","New Entry 17"
"888",2009,64,"Blank & Jones","Down 3"
"889",2010,64,"Roger Sanchez","Down 4"
"890",2011,64,"Eddie Halliwell","Down 17"
"891",2012,64,"D-Block & S-te-Fan","Down 24"
"892",2013,64,"Diplo","New Entry"
"893",2014,64,"Radical Redemption","New Entry"
"894",2015,64,"Laidback Luke","Down 14"
"895",2016,64,"Dillon Francis","Up 3"
"896",2017,64,"Lucas & Steve","New Entry"
"897",2004,NA,NA,NA
"898",2005,67,"Adam Beyer","Down 17"
"899",2006,65,"Frank T.R.A.X","Down 14"
"900",2007,65,"Agnelli & Nelson","Up 33"
"901",2008,65,"Gabriel & Dresden","Down 42"
"902",2009,65,"Justice","Up 8"
"903",2010,65,"Wally Lopez","Down 3"
"904",2011,65,"Moonbeam","Down 23"
"905",2012,65,"Tritonal","Up 18"
"906",2013,65,"Tenishia","Down 15"
"907",2014,65,"DJ Snake","New Entry"
"908",2015,65,"Disclosure","New Entry"
"909",2016,65,"Andrew Rayel","Down 25"
"910",2017,65,"Warface","New Entry"
"911",2004,NA,NA,NA
"912",2005,67,"Adam Beyer","Down 17"
"913",2006,66,"Steve Angello","New Entry"
"914",2007,66,"Fatboy Slim","Up 14"
"915",2008,66,"Richard Durand","Up 25"
"916",2009,66,"Laurent Wolf","Up 1"
"917",2010,66,"Mat Zo","New Entry"
"918",2011,66,"Myon & Shane 54","Down 4"
"919",2012,66,"Bingo Players","New Entry"
"920",2013,66,"Noisecontrollers","Down 39"
"921",2014,66,"Da Tweekaz","Up 20"
"922",2015,66,"Firebeatz","Down 10"
"923",2016,66,"Eric Prydz","Down 9"
"924",2017,66,"Galantis","Down 27"
"925",2004,NA,NA,NA
"926",2005,68,"Donald Glaude","Re-entry"
"927",2006,67,"Danny Howells","Down 42"
"928",2007,67,"Andy C","Up 30"
"929",2008,67,"Laurent Wolf","New Entry 25"
"930",2009,67,"Astral Projection","Up 27"
"931",2010,67,"Marco V","Down 17"
"932",2011,67,"Judge Jules","Down 23"
"933",2012,67,"Psyko Punkz","Up 11"
"934",2013,67,"Mike Candys","Up 19"
"935",2014,67,"Noisecontrollers","Down 1"
"936",2015,67,"Dillon Francis","Down 13"
"937",2016,67,"Felguk","Re-entry"
"938",2017,67,"Da Tweekaz","Up 4"
"939",2004,NA,NA,NA
"940",2005,69,"Dave Seaman","Down 12"
"941",2006,68,"Simon Posford","New Entry"
"942",2007,68,"Ricky Stone","Down 28"
"943",2008,68,"Matt Hardwick","Down 20"
"944",2009,68,"Boys Noize","New Entry"
"945",2010,68,"Leon Bolier","Down 5"
"946",2011,68,"Matt Darey","Down 16"
"947",2012,68,"Shogun","New Entry"
"948",2013,68,"Antoine","New Entry"
"949",2014,NA,"Carnage","New Entry"
"950",2015,68,"Borgore","Down 27"
"951",2016,68,"Radical Redemption","Up 4"
"952",2017,68,"Jay Hardway","Up 21"
"953",2004,NA,NA,NA
"954",2005,70,"Andy C","Down 44"
"955",2006,69,"John Graham","New Entry"
"956",2007,69,"Donald Glaude","Down 23"
"957",2008,69,"Chris Liebing","Up 5"
"958",2009,69,"Ronski Speed","Up 28"
"959",2010,69,"Ronski Speed","No change"
"960",2011,69,"Paul Oakenfold","Down 18"
"961",2012,69,"Paul Oakenfold","No change"
"962",2013,69,"MOSIMANN","Up 5"
"963",2014,69,"Cosmic Gate","Up 11"
"964",2015,69,"Daft Punk","Down 26"
"965",2016,69,"Robin Schulz","Up 30"
"966",2017,69,"Claptone","New Entry"
"967",2004,NA,NA,NA
"968",2005,71,"Chus & Ceballos","New Entry"
"969",2006,70,"Desyn Masiello","Down 16"
"970",2007,70,"Desyn Masiello","No change"
"971",2008,70,"Erick Morillo","Down 46"
"972",2009,70,"Sander Kleinenberg","Down 11"
"973",2010,70,"Wolfgang Gartner","New Entry"
"974",2011,70,"Alesso","New Entry"
"975",2012,70,"Benny Benassi","Down 43"
"976",2013,70,"Project 46","Up 30"
"977",2014,70,"Diego Miranda","Up 24"
"978",2015,70,"Umek","Up 5"
"979",2016,70,"Dannic","Down 44"
"980",2017,70,"Martin Jensen","Up 12"
"981",2004,NA,NA,NA
"982",2005,72,"John '00' Fleming","Down 20"
"983",2006,71,"Mauro Picotto","Down 43"
"984",2007,71,"Daft Punk","New Entry"
"985",2008,71,"DJ Hype","Up 11"
"986",2009,71,"Ricardo Villalobos","Down 35"
"987",2010,71,"W & W","New Entry"
"988",2011,71,"Mark Knight","Down 18"
"989",2012,71,"tyDi","Down 23"
"990",2013,71,"Blasterjaxx","New Entry"
"991",2014,71,"Zatox","Down 21"
"992",2015,71,"Tenishia","Up 2"
"993",2016,71,"Da Tweekaz","Up 8"
"994",2017,71,"Florian Picasso","Down 33"
"995",2004,NA,NA,NA
"996",2005,73,"Satoshi Tomiie","Down 25"
"997",2006,72,"Menno De Jong","New Entry"
"998",2007,72,"Martin Solveig","Re-entry"
"999",2008,72,"Signum","New Entry 11"
"1000",2009,72,"Chuckie","New Entry"
"1001",2010,72,"Boys Noize","Down 4"
"1002",2011,72,"Sean Tyas","Down 27"
"1003",2012,72,"Mat Zo","Up 1"
"1004",2013,72,"D-Block & S-te-Fan","Down 8"
"1005",2014,72,"MOSIMANN","Down 3"
"1006",2015,72,"Radical Redemption","Down 8"
"1007",2016,72,"Daft Punk","Down 3"
"1008",2017,72,"Vini Vici","New Entry"
"1009",2004,NA,NA,NA
"1010",2005,74,"DJ Tatana","New Entry"
"1011",2006,73,"BT","Up 9"
"1012",2007,73,"BT","No change"
"1013",2008,73,"Justice","Down 15"
"1014",2009,73,"Sharam","New Entry"
"1015",2010,73,"D-Block & S-te-Fan","New Entry"
"1016",2011,73,"Mat Zo","Down 7"
"1017",2012,73,"R3hab","New Entry"
"1018",2013,73,"Dillon Francis","New Entry"
"1019",2014,73,"Tenishia","Down 8"
"1020",2015,73,"Frontliner","Down 28"
"1021",2016,73,"Will Sparks","Up 5"
"1022",2017,73,"Jauz","Up 10"
"1023",2004,NA,NA,NA
"1024",2005,75,"Astrix","New Entry"
"1025",2006,74,"Scott K","New Entry"
"1026",2007,74,"Chris Liebing","Down 24"
"1027",2008,74,"Dirty South","Up 24"
"1028",2009,74,"Marcel Woods","Up 9"
"1029",2010,74,"Dubfire","Down 28"
"1030",2011,74,"Lange","Down 30"
"1031",2012,74,"MOSIMANN","New Entry"
"1032",2013,74,"Dannic","New Entry"
"1033",2014,74,"Gareth Emery","Down 23"
"1034",2015,74,"Borgeous","Up 13"
"1035",2016,74,"Carl Cox","Down 11"
"1036",2017,74,"Cat Dealers","New Entry"
"1037",2004,NA,NA,NA
"1038",2005,76,"Lee Burridge","Down 20"
"1039",2006,75,"Tall Paul","Down 32"
"1040",2007,75,"Valentino Kanzyani","New Entry"
"1041",2008,75,"Wally Lopez","Up 20"
"1042",2009,75,"Lisa Lashes","Up 2"
"1043",2010,75,"Dirty South","Down 16"
"1044",2011,75,"Joachim Garraud","Down 32"
"1045",2012,75,"Wasted Penguinz","New Entry"
"1046",2013,75,"Adaro","New Entry"
"1047",2014,75,"Umek","Up 22"
"1048",2015,75,"Netsky","Re-entry"
"1049",2016,75,"Timmy Trumpet","New Entry"
"1050",2017,75,"Sam Feldt","Up 12"
"1051",2004,NA,NA,NA
"1052",2005,77,"M.I.K.E","Down 15"
"1053",2006,76,"M.I.K.E","Up 1"
"1054",2007,76,"Trentemøller","New Entry"
"1055",2008,76,"Magda","Up 11"
"1056",2009,76,"Moonbeam","New Entry"
"1057",2010,76,"John B","Up 16"
"1058",2011,76,"Simon Patterson","Down 48"
"1059",2012,76,"Dirty South","Up 17"
"1060",2013,76,"Richie Hawtin","Up 2"
"1061",2014,76,"Tiddey","Up 8"
"1062",2015,76,"Yellow Claw","New Entry"
"1063",2016,76,"Borgore","Down 8"
"1064",2017,76,"Robin Schulz","Down 7"
"1065",2004,NA,NA,NA
"1066",2005,78,"Lady Dana","Down 49"
"1067",2006,77,"Filo & Peri","New Entry 77"
"1068",2007,77,"Jeff Mills ","Re-entry"
"1069",2008,77,"Lisa Lashes","Up 6"
"1070",2009,77,"Rank 1","Re-entry"
"1071",2010,77,"Daniel Kandi","Up 10"
"1072",2011,77,"Francis Davila","New Entry"
"1073",2012,77,"Andrew Rayel","New Entry"
"1074",2013,77,"Martin Solveig","Down 29"
"1075",2014,77,"Zomboy","New Entry"
"1076",2015,77,"Chuckie","Re-entry"
"1077",2016,77,"Firebeatz","Down 11"
"1078",2017,77,"Andy C","Re-entry"
"1079",2004,NA,NA,NA
"1080",2005,80,"Nic Fanciulli","Up 8"
"1081",2006,78,"DJ Tarkan","New Entry"
"1082",2007,78,"John Graham","Down 9"
"1083",2008,78,"Pete Tong","Down 39"
"1084",2009,78,"Sébastien Léger","Up 11"
"1085",2010,78,"Arty","New Entry"
"1086",2011,78,"Psyko Punkz","New Entry"
"1087",2012,78,"Richie Hawtin","Down 33"
"1088",2013,78,"Felguk","Up 12"
"1089",2014,78,"DJ Bl3ND","Up 13"
"1090",2015,78,"Will Sparks","New Entry"
"1091",2016,78,"Tujamo","Up 17"
"1092",2017,78,"Carnage","Up 6"
"1093",2004,NA,NA,NA
"1094",2005,81,"Rank 1","Up 10"
"1095",2006,79,"Anderson Noise","New Entry"
"1096",2007,79,"Robbie Rivera","Up 17"
"1097",2008,79,"DJ Vibe","Down 39"
"1098",2009,79,"Marcus Schossow","New Entry"
"1099",2010,79,"BT","Re-entry"
"1100",2011,79,"Dimitri Vegas & Like Mike","New Entry"
"1101",2012,79,"Frontliner","New Entry"
"1102",2013,79,"Myon & Shane 54","Up 1"
"1103",2014,79,"Orjan Nilsen","Down 30"
"1104",2015,79,"Da Tweekaz","Down 13"
"1105",2016,79,"Laidback Luke","Down 15"
"1106",2017,79,"Andrew Rayel","Down 14"
"1107",2004,NA,NA,NA
"1108",2005,82,"BT","Up 10"
"1109",2006,80,"Fatboy Slim","Down 17"
"1110",2007,80,"The Chemical Brothers","Re-entry"
"1111",2008,80,"Bad Boy Bill","Down 42"
"1112",2009,80,"Steve Lawler","Up 11"
"1113",2010,80,"Boy George","Re-entry"
"1114",2011,80,"Wildstylez","New Entry"
"1115",2012,80,"Myon & Shane 54","Down 29"
"1116",2013,80,"Cosmic Gate","Down 41"
"1117",2014,80,"TJR","New Entry"
"1118",2015,80,"Quintino","Up 6"
"1119",2016,80,"Markus Schulz","Down 24"
"1120",2017,80,"Richie Hawtin","Re-entry"
"1121",2004,NA,NA,NA
"1122",2005,83,"Anne Savage","Down 4"
"1123",2006,80,"Fergie","Down 25"
"1124",2007,81,"Luciano","New Entry"
"1125",2008,81,"Tiddey","New Entry 42"
"1126",2009,81,"Skazi","Re-entry"
"1127",2010,81,"Pete Tha Zouk","New Entry"
"1128",2011,81,"Roger Sanchez","Down 17"
"1129",2012,81,"Heatbeat","New Entry"
"1130",2013,81,"Heatbeat","No change"
"1131",2014,81,"3lau","New Entry"
"1132",2015,81,"Krewella","Down 48"
"1133",2016,81,"Vicetone","Down 31"
"1134",2017,81,"Solomun","New Entry"
"1135",2004,NA,NA,NA
"1136",2005,85,"Plump DJ's","Down 32"
"1137",2006,81,"Serge Devant","New Entry"
"1138",2007,82,"Hype","Re-entry"
"1139",2008,82,"Greg Downey","New Entry 42"
"1140",2009,82,"Super8 & Tab","New Entry"
"1141",2010,82,"Fatboy Slim","Up 12"
"1142",2011,82,"Hernan Cattaneo","Down 25"
"1143",2012,82,"Thomas Gold","New Entry"
"1144",2013,82,"John O'Callaghan","Re-entry"
"1145",2014,82,"Don Diablo ","New Entry"
"1146",2015,82,"ATB","Down 24"
"1147",2016,82,"Martin Jensen","New Entry"
"1148",2017,82,"Steve Angello","Down 52"
"1149",2004,NA,NA,NA
"1150",2005,86,"Miss Kitten","Down 10"
"1151",2006,82,"Umek","Down 3"
"1152",2007,83,"Lisa Lashes","Up 16"
"1153",2008,83,"Marcel Woods","New Entry 42"
"1154",2009,83,"Pete Tong","Down 5"
"1155",2010,83,"Skazi","Down 2"
"1156",2011,83,"Tritonal","New Entry"
"1157",2012,83,"Nero","Up 5"
"1158",2013,83,"Wasted Penguinz","Down 8"
"1159",2014,83,"Madeon","Down 24"
"1160",2015,83,"MAKJ","Down 21"
"1161",2016,83,"Jauz","New Entry"
"1162",2017,83,"Will Sparks","Down 10"
"1163",2004,NA,NA,NA
"1164",2005,87,"Felix Da Housecat","Down 14"
"1165",2006,86,"Tallah 2XLC","New Entry"
"1166",2007,84,"Filo & Peri","Down 7"
"1167",2008,84,"Nick Warren","Down 37"
"1168",2009,84,"Tocadisco","Up 14"
"1169",2010,84,"Paul Kalkbrenner","New Entry"
"1170",2011,84,"DJ Vibe","Up 16"
"1171",2012,84,"Roger Shah","Down 33"
"1172",2013,84,"Tiddey","Re-entry"
"1173",2014,84,"Wolfpack","New Entry"
"1174",2015,84,"Kaskade","Down 38"
"1175",2016,84,"Carnage","Up 4"
"1176",2017,84,"Mariana Bo","New Entry"
"1177",2004,NA,NA,NA
"1178",2005,88,"Christian Cambas","New Entry"
"1179",2006,87,"Ronski Speed","Re-entry"
"1180",2007,85,"Lee Burridge","Up 3"
"1181",2008,85,"Solar System","New Entry 37"
"1182",2009,85,"Sied Van Riel","New Entry"
"1183",2010,85,"Pete Tong","Down 2"
"1184",2011,85,"AN21","New Entry"
"1185",2012,85,"Feed Me","New Entry"
"1186",2013,85,"Skazi","Re-entry"
"1187",2014,85,"Mike Candys","Down 18"
"1188",2015,85,"Ferry Corsten","Up 6"
"1189",2016,85,"Netsky","Down 10"
"1190",2017,85,"Black Coffee","New Entry"
"1191",2004,NA,NA,NA
"1192",2005,89,"Scot Project","Re-entry"
"1193",2006,88,"Lee Burridge","Down 12"
"1194",2007,86,"Armand Van Helden","Re-entry"
"1195",2008,86,"Skazi","New Entry 37"
"1196",2009,86,"Tiga","Re-entry"
"1197",2010,86,"Bloody Beetroots","New Entry"
"1198",2011,86,"Bloody Beetroots","No change"
"1199",2012,86,"Mike Candys","New Entry"
"1200",2013,86,"Da Tweekaz","Up 13"
"1201",2014,86,"Quintino","New Entry"
"1202",2015,86,"Flux Pavilion","New Entry"
"1203",2016,86,"Carl Nunes","New Entry"
"1204",2017,86,"Dillon Francis","Down 22"
"1205",2004,NA,NA,NA
"1206",2005,90,"Cosmic Gate","Down 9"
"1207",2006,89,"Mario Piu","Down 51"
"1208",2007,87,"Magda","Re-entry"
"1209",2008,87,"Mike Koglin","New Entry 37"
"1210",2009,87,"Daniel Kandi","New Entry"
"1211",2010,86,"Bloody Beetroots","New Entry"
"1212",2011,87,"Felguk","New Entry"
"1213",2012,87,"Andy Moor","Down 37"
"1214",2013,87,"Tenashar","New Entry"
"1215",2014,87,"Borgeous","New Entry"
"1216",2015,87,"Zatox","Down 16"
"1217",2016,87,"Sam Feldt","New Entry"
"1218",2017,87,"Flume","Up 7"
"1219",2004,NA,NA,NA
"1220",2005,91,"Matt Darey","New Entry"
"1221",2006,90,"Axel Karakasis","New Entry"
"1222",2007,88,"Dave Seaman","Up 7"
"1223",2008,88,"Mauro Picotto","Down 54"
"1224",2009,88,"Mike Koglin","Down 1"
"1225",2010,87,"Arnej","New Entry"
"1226",2011,88,"Nero","New Entry"
"1227",2012,88,"Ran-D","New Entry"
"1228",2013,88,"Bob Sinclair","Up 6"
"1229",2014,88,"Audien","New Entry"
"1230",2015,88,"Carnage","Down 20"
"1231",2016,88,"Miss K8","Up 6"
"1232",2017,88,"Shogun","Down 46"
"1233",2004,NA,NA,NA
"1234",2005,92,"DJ Sammy","New Entry"
"1235",2006,91,"Steve Porter","New Entry"
"1236",2007,89,"Victor Calderone","Down 6"
"1237",2008,89,"Sébastien Léger","Up 4"
"1238",2009,89,"Luciano","Re-entry"
"1239",2010,88,"Joris Voorn","New Entry"
"1240",2011,89,"Juanjo Martin","New Entry"
"1241",2012,89,"Richard Durand","Down 30"
"1242",2013,89,"Benny Benassi","Down 19"
"1243",2014,89,"Boy George","Re-entry"
